Title;Year;Genres;Language;Country;Content Rating;Duration;Aspect Ratio;Budget;Gross Earnings;Director;Actor 1;Actor 2;Actor 3;Facebook Likes - Director;Facebook Likes - Actor 1;Facebook Likes - Actor 2;Facebook Likes - Actor 3;Facebook Likes - cast Total;Facebook likes - Movie;Facenumber in posters;User Votes;Reviews by Users;Reviews by Crtiics;IMDB Score;
Saved! ;2004;Comedy|Drama;English;USA;PG-13;92;1,85;5000000;8786715;Brian Dannelly;Macaulay Culkin;Patrick Fugit;Eva Amurri Martino;12;3000;835;797;5668;0;5;40274;324;121;6,9;
Saving Face ;2004;Comedy|Drama|Romance;English;USA;R;96;1,85;;1186323;Alice Wu;Joan Chen;Ato Essandoh;Jessica Hecht;13;643;265;209;1396;774;0;7776;84;54;7,6;
Saw ;2004;Horror|Mystery|Thriller;English;USA;R;103;1,85;1200000;55153403;James Wan;Michael Emerson;Monica Potter;Shawnee Smith;0;2000;878;651;5161;0;0;299127;1509;287;7,7;
Scooby-Doo 2: Monsters Unleashed ;2004;Adventure|Comedy|Family|Fantasy|Horror|Mystery;English;USA;PG;93;1,85;80000000;84185387;Raja Gosnell;Sarah Michelle Gellar;Linda Cardellini;Tim Blake Nelson;67;4000;2000;596;7800;567;0;33180;149;94;4,9;
Secret Window ;2004;Mystery|Thriller;English;USA;PG-13;96;2,35;40000000;47781388;David Koepp;Johnny Depp;Charles S. Dutton;Timothy Hutton;192;40000;534;501;41293;0;1;147504;531;195;6,6;
Seed of Chucky ;2004;Comedy|Fantasy|Horror|Thriller;English;Romania;R;88;1,85;12000000;17016190;Don Mancini;Jason Flemyng;Billy Boyd;Hannah Spearritt;64;1000;857;363;2567;0;0;28632;214;148;4,9;
Shall We Dance ;2004;Comedy|Drama|Romance;English;USA;PG-13;106;1,85;50000000;57887882;Peter Chelsom;Lisa Ann Walter;Nick Cannon;Omar Benson Miller;23;1000;593;418;2325;0;2;35508;211;118;6,1;
Shark Tale ;2004;Adventure|Animation|Comedy|Family;English;USA;PG;90;1,85;75000000;160762022;Bibo Bergeron;Robert De Niro;Martin Scorsese;Angelina Jolie Pitt;10;22000;17000;11000;63165;0;0;132415;288;143;6;
Shaun of the Dead ;2004;Comedy|Horror;English;UK;R;99;2,35;4000000;13464388;Edgar Wright;Peter Serafinowicz;Dylan Moran;Rafe Spall;1000;605;427;358;1686;19000;6;395921;859;246;8;
Short Cut to Nirvana: Kumbh Mela ;2004;Documentary;English;USA;Unrated;85;1,78;200000;381225;Maurizio Benazzo;The Dalai Lama;Jasper Johal;Swami Krishnanad;0;66;0;0;66;30;0;131;13;15;7,2;
Show Me ;2004;Drama|Thriller;French;Canada;R;97;1,78;900000;;Cassandra Nicolaou;Katharine Isabelle;Michelle Nolden;Gabriel Hogan;0;918;100;83;1163;12;0;369;5;10;6;
Shrek 2 ;2004;Adventure|Animation|Comedy|Family|Fantasy|Romance;English;USA;PG;93;1,85;150000000;436471036;Andrew Adamson;Rupert Everett;Jennifer Saunders;Conrad Vernon;80;692;309;48;1148;0;1;314630;483;205;7,2;
Sideways ;2004;Adventure|Comedy|Drama|Romance;English;USA;R;126;1,85;12000000;71502303;Alexander Payne;Virginia Madsen;Patrick Gallagher;M.C. Gainey;729;912;306;284;2170;0;0;149966;835;285;7,5;
Sky Captain and the World of Tomorrow ;2004;Action|Adventure|Mystery|Sci-Fi|Thriller;English;USA;PG;106;1,85;70000000;37760080;Kerry Conran;Angelina Jolie Pitt;Laurence Olivier;Bai Ling;14;11000;1000;582;12871;0;2;72868;618;197;6,1;
Sleepover ;2004;Comedy|Romance;English;USA;PG;89;1,85;10000000;8070311;Joe Nussbaum;Steve Carell;Alexa PenaVega;Hunter Parrish;18;7000;2000;2000;13626;0;9;12706;75;52;5,3;
Soul Plane ;2004;Comedy;English;USA;R;92;1,85;16000000;13922211;Jessy Terrero;Mo'Nique;Snoop Dogg;Tom Arnold;29;939;881;618;3935;0;9;18271;150;75;4,4;
Spanglish ;2004;Comedy|Drama|Romance;English;USA;PG-13;131;1,85;80000000;42044321;James L. Brooks;Adam Sandler;Paz Vega;Sarah Steele;274;11000;964;138;12522;0;2;65668;342;124;6,5;
Spider-Man 2 ;2004;Action|Adventure|Fantasy|Romance;English;USA;PG-13;135;2,35;200000000;373377893;Sam Raimi;J.K. Simmons;James Franco;Kirsten Dunst;0;24000;11000;4000;43388;0;1;411164;1303;300;7,3;
Starsky & Hutch ;2004;Comedy|Crime;English;USA;PG-13;101;2,35;60000000;88200225;Todd Phillips;Snoop Dogg;Carmen Electra;Fred Williamson;480;881;869;767;3943;0;5;120795;308;173;6,1;
Steamboy ;2004;Action|Adventure|Animation|Family|Sci-Fi|Thriller;Japanese;Japan;PG-13;103;1,85;2127519898;410388;Katsuhiro Ôtomo;William Hootkins;Robin Atkin Downes;Rosalind Ayres;78;488;336;101;991;973;1;13727;79;105;6,9;
Summer Storm ;2004;Comedy|Drama|Romance|Sport;German;Germany;R;98;1,85;2700000;95016;Marco Kreuzpaintner;Alicja Bachleda;Kostja Ullmann;Robert Stadlober;7;289;38;17;362;442;0;11074;56;40;7,4;
Super Size Me ;2004;Comedy|Documentary|Drama;English;USA;PG;100;1,78;65000;11529368;Morgan Spurlock;Chemeeka Walker;Amanda Kearsan;Amelia Giancarlo;293;0;0;0;0;0;2;85028;404;193;7,3;
Superbabies: Baby Geniuses 2 ;2004;Comedy|Family|Sci-Fi;English;Germany;PG;88;2,35;20000000;9109322;Bob Clark;Scott Baio;Vanessa Angel;Peter Wingfield;84;650;384;177;1343;0;3;25371;129;32;1,9;
Suspect Zero ;2004;Crime|Drama|Mystery|Thriller;English;USA;R;99;1,33;27000000;8712564;E. Elias Merhige;Harry Lennix;Kevin Chamberlin;William Mapother;54;748;489;398;1721;817;0;16555;139;101;5,9;
Tae Guk Gi: The Brotherhood of War ;2004;Action|Drama|War;Korean;South Korea;R;148;2,35;12800000;1110186;Je-kyu Kang;Min-sik Choi;Bin Won;Dong-gun Jang;16;717;517;489;1730;0;2;31943;224;86;8,1;
Teacher's Pet ;2004;Animation|Comedy|Family|Fantasy|Musical;English;USA;PG;74;1,85;10000000;6491350;Timothy Björklund;Nathan Lane;Kelsey Grammer;Jerry Stiller;0;886;808;719;5139;49;0;1231;26;33;5,8;
Team America: World Police ;2004;Action|Comedy;English;USA;R;98;2,35;30000000;32774834;Trey Parker;Jeremy Shada;Maurice LaMarche;Trey Parker;406;860;523;406;2609;0;5;136048;700;233;7,2;
The Alamo ;2004;Drama|History|War|Western;English;USA;PG-13;137;2,35;107000000;22406362;John Lee Hancock;Dennis Quaid;Marc Blucas;Jordi Mollà;102;2000;973;877;5780;701;0;16832;267;106;6;
The Alamo ;2004;Drama|History|War|Western;English;USA;PG-13;137;2,35;107000000;22406362;John Lee Hancock;Dennis Quaid;Marc Blucas;Jordi Mollà;102;2000;973;877;5780;701;0;16832;267;106;6;
The Aviator ;2004;Biography|Drama;English;USA;PG-13;170;2,35;110000000;102608827;Martin Scorsese;Leonardo DiCaprio;Adam Scott;Frances Conroy;17000;29000;3000;827;34582;0;0;264318;799;267;7,5;
The Big Bounce ;2004;Comedy|Crime;English;USA;PG-13;88;2,35;50000000;6471394;George Armitage;Morgan Freeman;Andrew Wilson;Willie Nelson;5;11000;387;338;11972;288;5;15880;93;75;4,9;
The Blue Butterfly ;2004;Adventure|Drama;English;Canada;PG;97;1,85;12500000;;Léa Pool;William Hurt;Marc Donato;Raoul Max Trujillo;4;882;450;194;1554;392;1;1337;28;17;6,3;
The Bourne Supremacy ;2004;Action|Mystery|Thriller;English;USA;PG-13;108;2,35;75000000;176049130;Paul Greengrass;Matt Damon;Joan Allen;Oksana Akinshina;521;13000;805;129;14161;0;1;348232;806;239;7,8;
The Bridge of San Luis Rey ;2004;Drama|Romance;English;UK;PG;120;1,85;24000000;42880;Mary McGuckian;Robert De Niro;F. Murray Abraham;Geraldine Chaplin;6;22000;670;382;23769;181;3;2919;50;16;5,1;
The Butterfly Effect ;2004;Sci-Fi|Thriller;English;USA;R;120;1,85;13000000;23947;Eric Bress;Logan Lerman;Eric Stoltz;Cameron Bright;19;8000;902;829;12755;15000;0;357579;1100;185;7,7;
The Case of the Grinning Cat ;2004;Documentary;French;France;;59;1,37;150000;;Chris Marker;Marina Vlady;Bertrand Cantat;Léon Schwartzenberg;121;27;0;0;27;44;0;352;4;16;7,4;
The Chorus ;2004;Drama|Music;French;France;PG-13;97;2,35;5500000;3629758;Christophe Barratier;Jean-Baptiste Maunier;François Berléand;Gérard Jugnot;25;517;86;57;745;0;0;44151;110;112;7,9;
The Chronicles of Riddick ;2004;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;134;2,35;105000000;57637485;David Twohy;Vin Diesel;Alexa Davalos;Christina Cox;123;14000;850;567;17159;0;0;183909;666;207;6,7;
The Cookout ;2004;Comedy;English;USA;PG-13;97;1,85;;11540112;Lance Rivera;Farrah Fawcett;Vincent Pastore;Jenifer Lewis;3;1000;584;578;3835;177;1;2385;20;21;3,6;
The Day After Tomorrow ;2004;Action|Adventure|Sci-Fi|Thriller;English;USA;PG-13;124;2,35;125000000;186739919;Roland Emmerich;Jake Gyllenhaal;Dennis Quaid;Sela Ward;776;15000;2000;812;20553;19000;0;333248;1159;239;6,4;
The Girl Next Door ;2004;Comedy|Drama|Romance;English;USA;R;110;1,85;25000000;14589444;Luke Greenfield;Chris Marquette;Timothy Bottoms;Jacob Young;42;355;155;111;911;0;2;171151;513;126;6,8;
The Grudge ;2004;Horror|Mystery|Thriller;English;USA;PG-13;98;1,85;10000000;110175871;Takashi Shimizu;Sarah Michelle Gellar;Clea DuVall;Ted Raimi;70;4000;1000;634;7461;4000;0;115050;911;203;5,9;
The Holy Girl ;2004;Drama;Spanish;Argentina;R;106;1,85;1400000;304124;Lucrecia Martel;Mía Maestro;Mercedes Morán;María Alche;33;341;5;3;358;57;0;2720;37;78;6,7;
The I Inside ;2004;Mystery|Sci-Fi|Thriller;English;UK;R;90;2,35;8800000;;Roland Suso Richter;Stephen Graham;Sarah Polley;Stephen Rea;3;1000;900;327;2310;458;2;9296;57;33;6,1;
The Incredibles ;2004;Action|Adventure|Animation|Family;English;USA;PG;115;2,35;92000000;261437578;Brad Bird;Holly Hunter;Craig T. Nelson;Lou Romano;663;1000;723;55;1901;0;0;479166;815;283;8;
The Ladykillers ;2004;Comedy|Crime|Thriller;English;USA;R;104;1,85;35000000;39692139;Ethan Coen;J.K. Simmons;Tom Hanks;Stephen Root;1000;24000;15000;939;41701;0;1;84131;400;193;6,2;
The Last Shot ;2004;Comedy;English;USA;R;93;1,85;;463730;Jeff Nathanson;Matthew Broderick;Glenn Morshower;Tim Blake Nelson;23;2000;894;596;5240;89;10;3789;39;42;5,7;
The Libertine ;2004;Drama|Romance;English;UK;R;114;2,35;;4829497;Laurence Dunmore;Johnny Depp;Jack Davenport;Richard Coyle;2;40000;1000;567;42484;0;1;31433;260;111;6,4;
The Life Aquatic with Steve Zissou ;2004;Adventure|Comedy|Drama;English;USA;R;119;2,35;50000000;24006726;Wes Anderson;Bill Murray;Anjelica Huston;Matthew Gray Gubler;0;13000;1000;639;15757;0;8;139535;632;259;7,3;
The Machinist ;2004;Drama|Thriller;English;Spain;R;94;2,35;5000000;1082044;Brad Anderson;Christian Bale;Jennifer Jason Leigh;Reg E. Cathey;122;23000;1000;360;24994;21000;0;281649;458;204;7,7;
The Manchurian Candidate ;2004;Drama|Mystery|Sci-Fi|Thriller;English;USA;R;129;1,85;80000000;65948711;Jonathan Demme;Denzel Washington;Dorian Missick;Jose Pablo Cantillo;438;18000;1000;502;20056;0;1;86422;363;209;6,6;
The Merchant of Venice ;2004;Drama|Romance;English;USA;R;131;2,35;18000000;3752725;Michael Radford;Al Pacino;Mackenzie Crook;Kris Marshall;53;14000;871;548;16252;0;3;29715;161;117;7,1;
The Notebook ;2004;Drama|Romance;English;USA;PG-13;123;2,35;29000000;64286;Nick Cassavetes;Ryan Gosling;Kevin Connolly;Gena Rowlands;415;33000;638;545;34495;57000;0;396396;1111;177;7,9;
The Passion of the Christ ;2004;Drama;Aramaic;USA;R;120;2,35;30000000;499263;Mel Gibson;Christo Jivkov;Maia Morgenstern;Hristo Shopov;0;260;252;113;705;13000;0;179235;2814;406;7,1;
The Phantom of the Opera ;2004;Drama|Musical|Romance|Thriller;English;UK;PG-13;143;2,35;70000000;51225796;Joel Schumacher;Gerard Butler;Minnie Driver;Miranda Richardson;541;18000;893;530;20660;0;0;96654;2047;153;7,4;
The Polar Express ;2004;Adventure|Animation|Family|Fantasy;English;USA;G;100;2,35;165000000;665426;Robert Zemeckis;Tom Hanks;Eddie Deezen;Peter Scolari;0;15000;726;267;16264;10000;0;120798;444;188;6,6;
The Prince and Me ;2004;Comedy|Family|Romance;English;USA;PG;111;1,85;;28165882;Martha Coolidge;Devin Ratray;Miranda Richardson;Luke Mably;57;1000;530;438;3239;0;1;31984;154;85;5,9;
The Princess Diaries 2: Royal Engagement ;2004;Comedy|Family|Romance;English;USA;G;113;1,85;40000000;95149435;Garry Marshall;Anne Hathaway;Raven-Symoné;Hector Elizondo;0;11000;1000;995;15362;1000;2;53687;152;77;5,7;
The Punisher ;2004;Action|Crime|Drama|Thriller;English;USA;R;140;2,35;33000000;33682273;Jonathan Hensleigh;Laura Harring;Marco St. John;Eddie Jemison;36;669;403;336;2114;4000;1;124242;622;192;6,5;
The Sea Inside ;2004;Biography|Drama|Romance;Spanish;Spain;PG-13;125;2,35;10000000;2086345;Alejandro Amenábar;Belén Rueda;Lola Dueñas;Tamar Novas;448;273;114;93;529;0;1;64556;140;157;8,1;
The SpongeBob SquarePants Movie ;2004;Adventure|Animation|Comedy|Family|Fantasy;English;USA;PG;87;1,85;30000000;85416609;Stephen Hillenburg;Scarlett Johansson;Bill Fagerbakke;Rodger Bumpass;47;19000;542;217;20097;0;0;58906;186;89;7;
The Stepford Wives ;2004;Comedy|Sci-Fi|Thriller;English;USA;PG-13;93;1,85;90000000;59475623;Frank Oz;Jon Lovitz;Matthew Broderick;Roger Bart;0;11000;2000;465;13748;0;1;49739;407;169;5,2;
The Terminal ;2004;Comedy|Drama;English;USA;PG-13;128;1,85;60000000;77032279;Steven Spielberg;Tom Hanks;Chi McBride;Barry Shabaka Henley;14000;15000;466;232;16199;16000;0;303864;596;151;7,3;
The Village ;2004;Drama|Mystery|Romance|Thriller;English;USA;PG-13;108;1,85;60000000;114195633;M. Night Shyamalan;Bryce Dallas Howard;Judy Greer;William Hurt;0;3000;2000;882;7273;0;0;193770;2003;261;6,5;
The Whole Ten Yards ;2004;Comedy|Crime|Thriller;English;USA;PG-13;98;1,85;40000000;16323969;Howard Deutch;Bruce Willis;Matthew Perry;Natasha Henstridge;41;13000;2000;900;18085;462;5;45775;112;74;5,5;
The Work and the Glory ;2004;Drama|Romance;English;USA;PG;118;;7500000;3347439;Russell Holt;Eric Johnson;Brenda Strong;Tiffany Dupont;0;373;266;249;1233;31;1;833;33;6;6,9;
Thunderbirds ;2004;Action|Adventure|Comedy|Family|Sci-Fi;English;UK;PG;95;1,85;57000000;6768055;Jonathan Frakes;Sophia Myles;Philip Winchester;Brady Corbet;906;956;579;287;2260;437;0;11148;229;76;4,2;
Torque ;2004;Action|Comedy|Crime;English;USA;PG-13;84;2,35;40000000;21176322;Joseph Kahn;Dane Cook;Jay Hernandez;Christina Milian;33;1000;1000;1000;5039;0;0;23747;207;86;4;
Troy ;2004;Adventure;English;USA;R;196;2,35;175000000;133228348;Wolfgang Petersen;Brad Pitt;Orlando Bloom;Julian Glover;249;11000;5000;844;17944;0;2;381672;1694;220;7,2;
Two Brothers ;2004;Adventure|Drama|Family;English;France;PG;109;2,35;59660000;18947630;Jean-Jacques Annaud;David Gant;Jean-Claude Dreyfus;Oanh Nguyen;218;21;17;8;55;2000;0;11798;124;88;7,1;
Vanity Fair ;2004;Drama;English;USA;PG-13;141;2,35;23000000;16123851;Mira Nair;Romola Garai;Roger Lloyd Pack;Lillete Dubey;300;805;539;73;1618;767;2;17373;148;118;6,2;
Veer-Zaara ;2004;Drama|Musical|Romance;Hindi;India;;192;2,35;7000000;2921738;Yash Chopra;Shah Rukh Khan;Preity Zinta;Anupam Kher;147;8000;860;397;9984;2000;0;34449;119;29;7,9;
Vera Drake ;2004;Crime|Drama;English;UK;R;125;1,85;11000000;3753806;Mike Leigh;Eddie Marsan;Sally Hawkins;Imelda Staunton;608;979;594;579;3133;0;1;20307;165;169;7,7;
Walking Tall ;2004;Action|Crime;English;USA;PG-13;86;2,35;56000000;45860039;Kevin Bray;Dwayne Johnson;Ashley Scott;Michael Bowen;10;12000;795;348;14146;0;1;53118;221;117;6,2;
Welcome to Mooseport ;2004;Comedy|Romance;English;USA;PG-13;110;1,85;26000000;14469428;Donald Petrie;Rip Torn;Ray Romano;Maura Tierney;80;826;590;509;2466;260;2;10667;95;82;5,2;
What the #$*! Do We (K)now!? ;2004;Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi;English;USA;Unrated;109;1,85;;10941801;William Arntz;Marlee Matlin;Elaine Hendrix;Armin Shimerman;0;847;670;428;2649;2000;0;12059;486;74;5,4;
White Chicks ;2004;Comedy|Crime;English;USA;PG-13;109;1,85;37000000;69148997;Keenen Ivory Wayans;Busy Philipps;Jaime King;Brittany Daniel;322;1000;960;861;6313;0;4;98794;251;62;5,4;
Wicker Park ;2004;Drama|Mystery|Romance|Thriller;English;USA;PG-13;114;2,35;30000000;12831121;Paul McGuigan;Jessica Paré;Christopher Cousins;Mark Camacho;118;489;93;40;679;0;0;44979;298;98;7;
Wicker Park ;2004;Drama|Mystery|Romance|Thriller;English;USA;PG-13;114;2,35;30000000;12831121;Paul McGuigan;Jessica Paré;Christopher Cousins;Mark Camacho;118;489;93;40;679;0;0;44979;298;98;7;
Wimbledon ;2004;Comedy|Romance|Sport;English;UK;PG-13;98;2,35;31000000;16831505;Richard Loncraine;Kirsten Dunst;Jon Favreau;Austin Nichols;12;4000;4000;663;9330;0;1;51842;173;129;6,3;
Win a Date with Tad Hamilton! ;2004;Comedy|Romance;English;USA;PG-13;95;2,35;24000000;16964743;Robert Luketic;Topher Grace;Gary Cole;Nathan Lane;126;2000;989;886;4681;876;1;22844;140;84;5,6;
Without a Paddle ;2004;Adventure|Comedy|Mystery;English;USA;PG-13;95;2,35;19000000;58156435;Steven Brill;Antony Starr;Scott Adsit;Bonnie Somerville;65;506;316;246;1266;0;3;37479;152;94;5,9;
Woman Thou Art Loosed ;2004;Drama;English;USA;R;94;;;6879730;Michael Schultz;Loretta Devine;Kimberly Elise;Clifton Powell;78;912;637;469;3049;187;0;806;23;17;6,9;
Yes ;2004;Drama|Romance;English;UK;R;100;1,85;1000000;396035;Sally Potter;Shirley Henderson;Joan Allen;Stephanie Leonidas;87;887;805;420;2721;305;0;2725;48;76;6,9;
You Got Served ;2004;Drama|Music;English;USA;PG-13;95;1,85;8000000;40066497;Chris Stokes;Jennifer Freeman;Marques Houston;Steve Harvey;548;389;363;360;1792;0;0;23671;247;58;3,5;
51 Birch Street ;2005;Documentary;English;Germany;Unrated;90;;;84689;Doug Block;Carol Block;Ellen Block;Mike Block;0;0;0;0;0;70;2;695;16;45;7,5;
A History of Violence ;2005;Crime|Drama|Thriller;English;USA;R;96;1,85;32000000;31493782;David Cronenberg;Viggo Mortensen;Kyle Schmid;William Hurt;0;10000;917;882;12754;0;1;186606;1125;441;7,5;
A Lot Like Love ;2005;Comedy|Drama|Romance;English;USA;PG-13;107;1,85;30000000;21835784;Nigel Cole;Aimee Garcia;Tyrone Giordano;James Read;13;618;172;165;1095;0;3;58297;161;112;6,6;
A Sound of Thunder ;2005;Action|Adventure|Horror|Sci-Fi|Thriller;English;UK;PG-13;102;2,35;52000000;1891821;Peter Hyams;David Oyelowo;Catherine McCormack;Jemima Rooper;0;1000;307;212;1890;785;0;16474;301;113;4,2;
Æon Flux ;2005;Action|Sci-Fi;English;USA;PG-13;93;2,35;62000000;25857987;Karyn Kusama;Charlize Theron;Sophie Okonedo;Paterson Joseph;45;9000;460;352;10185;0;0;110614;532;178;5,5;
Alone in the Dark ;2005;Horror|Sci-Fi;English;Canada;R;94;2,35;20000000;5132655;Uwe Boll;Catherine Lough Haggquist;Darren Shahlavi;Karin Konoval;892;310;294;81;838;1000;0;37626;521;148;2,3;
An American Haunting ;2005;Horror|Mystery|Thriller;English;UK;PG-13;91;2,35;14000000;16298046;Courtney Solomon;Sissy Spacek;James D'Arcy;Vernon Dobtcheff;31;874;613;50;1608;0;0;22207;747;125;5;
An Unfinished Life ;2005;Drama;English;USA;PG-13;108;2,35;30000000;8535575;Lasse Hallström;Morgan Freeman;Camryn Manheim;Lynda Boyd;529;11000;329;83;11519;0;3;24033;152;107;7;
Are We There Yet? ;2005;Adventure|Comedy|Family|Romance;English;USA;PG;95;1,85;32000000;82301521;Brian Levant;Nia Long;Tracy Morgan;Jay Mohr;32;826;642;563;3558;773;2;22679;149;75;4,6;
Assault on Precinct 13 ;2005;Action|Crime|Drama|Thriller;English;USA;R;109;2,35;20000000;19976073;Jean-François Richet;Brian Dennehy;Drea de Matteo;Hugh Dillon;25;954;739;431;3148;999;1;65979;220;152;6,3;
Batman Begins ;2005;Action|Adventure;English;USA;PG-13;128;2,35;150000000;205343774;Christopher Nolan;Christian Bale;Liam Neeson;Morgan Freeman;22000;23000;14000;11000;59558;15000;0;980946;2685;478;8,3;
Be Cool ;2005;Comedy|Crime|Music;English;USA;PG-13;118;2,4;53000000;55808744;F. Gary Gray;Dwayne Johnson;Christina Milian;Debi Mazar;473;12000;1000;680;15889;0;4;59435;323;161;5,7;
Beauty Shop ;2005;Comedy;English;USA;PG-13;105;2,35;;36310118;Bille Woodruff;Alfre Woodard;Keshia Knight Pulliam;LisaRaye McCoy;23;1000;619;485;3535;671;1;13194;59;72;5,5;
Because of Winn-Dixie ;2005;Comedy|Drama|Family;English;USA;PG;106;1,85;14000000;32645546;Wayne Wang;Cicely Tyson;Luke Benward;Eva Marie Saint;61;907;807;649;3462;1000;5;8427;88;96;6,4;
BloodRayne ;2005;Action|Adventure|Fantasy|Horror;English;USA;R;92;2,35;25000000;1550000;Uwe Boll;Meat Loaf;Udo Kier;Michael Paré;892;783;595;492;2930;937;2;30628;471;143;2,9;
Boogeyman ;2005;Drama|Horror|Mystery|Thriller;English;USA;PG-13;89;1,85;20000000;46363118;Stephen Kay;Barry Watson;Skye McCole Bartusiak;Charles Mesure;19;526;392;349;1383;1000;0;25960;389;140;4,1;
Boynton Beach Club ;2005;Comedy|Romance;English;USA;R;105;1,85;1500000;3123749;Susan Seidelman;Dyan Cannon;Michael Nouri;Brenda Vaccaro;39;267;225;183;1231;88;8;746;27;35;6,5;
Brokeback Mountain ;2005;Drama|Romance;English;USA;R;134;1,85;14000000;83025853;Ang Lee;Jake Gyllenhaal;Heath Ledger;Anne Hathaway;0;15000;13000;11000;39789;13000;0;259837;2254;357;7,7;
Camping sauvage ;2005;Drama;French;France;;79;;;;Christophe Ali;Denis Lavant;Isild Le Besco;Emmanuelle Bercot;0;226;40;20;286;11;0;262;6;7;5,4;
Capote ;2005;Biography|Crime|Drama;English;Canada;R;110;2,35;7000000;28747570;Bennett Miller;Philip Seymour Hoffman;Michael J. Burg;Kwesi Ameyaw;152;22000;68;27;22140;0;1;100571;416;271;7,4;
Cavite ;2005;Thriller;English;Philippines;Not Rated;80;;7000;70071;Neill Dela Llana;Ian Gamazon;Edgar Tancangco;Quynn Ton;0;0;0;0;0;74;0;589;35;35;6,3;
Charlie and the Chocolate Factory ;2005;Adventure|Comedy|Family|Fantasy;English;USA;PG;115;1,85;150000000;206456431;Tim Burton;Johnny Depp;Christopher Lee;David Kelly;13000;40000;16000;588;57844;0;3;320284;1361;276;6,7;
Cheaper by the Dozen 2 ;2005;Adventure|Comedy|Family;English;USA;PG;94;2,35;60000000;82569532;Adam Shankman;Taylor Lautner;Tom Welling;Alyson Stoner;163;12000;3000;2000;20348;781;6;42737;128;77;5,4;
Chicken Little ;2005;Adventure|Animation|Comedy|Family|Sci-Fi;English;USA;G;81;1,85;150000000;135381507;Mark Dindal;Catherine O'Hara;Fred Willard;Amy Sedaris;10;925;729;397;2252;912;0;63912;251;161;5,8;
Chicken Tikka Masala ;2005;Comedy|Drama|Romance;English;UK;;90;1,85;1200000;;Harmage Singh Kalirai;Saeed Jaffrey;Zohra Segal;Shobu Kapoor;11;114;79;18;244;172;3;480;14;10;5,8;
Chocolate: Deep Dark Secrets ;2005;Thriller;Hindi;India;;160;;1500000;49000;Vivek Agnihotri;Emraan Hashmi;Anil Kapoor;Sunil Shetty;5;724;668;219;2024;31;5;1524;30;4;4,8;
Cinderella Man ;2005;Biography|Drama|Sport;English;USA;PG-13;144;2,35;88000000;61644321;Ron Howard;Paddy Considine;Bruce McGill;Rosemarie DeWitt;2000;680;655;537;2523;0;0;148238;529;201;8;
Coach Carter ;2005;Drama|Sport;English;USA;PG-13;136;2,35;30000000;67253092;Thomas Carter;Channing Tatum;Rick Gonzalez;Robert Ri'chard;49;17000;807;730;20299;0;0;92702;209;127;7,2;
Conversations with Other Women ;2005;Comedy|Drama|Romance;English;UK;R;84;2,39;450000;379122;Hans Canosa;Olivia Wilde;Thomas Lennon;Nora Zehetner;3;10000;651;446;12496;0;0;10143;54;365;7,1;
Corpse Bride ;2005;Animation|Drama|Family|Fantasy|Musical|Romance;English;USA;PG;77;1,85;40000000;53337608;Tim Burton;Johnny Depp;Christopher Lee;Joanna Lumley;13000;40000;16000;973;60683;0;1;188785;467;267;7,4;
Cry_Wolf ;2005;Drama|Horror|Mystery|Thriller;English;USA;PG-13;90;2,35;1000000;10042266;Jeff Wadlow;Julian Morris;Gary Cole;Lindy Booth;65;1000;989;683;3155;816;0;23021;220;137;5,9;
Cursed ;2005;Comedy|Horror;English;USA;PG-13;99;2,35;35000000;19294901;Wes Craven;Shannon Elizabeth;Portia de Rossi;Derek Mears;0;1000;573;520;2535;0;0;26126;325;158;5;
Dark Water ;2005;Drama|Horror|Thriller;English;USA;PG-13;103;2,35;30000000;25472967;Walter Salles;Dougray Scott;Camryn Manheim;Ariel Gade;179;794;329;87;1467;0;2;44966;411;196;5,6;
Dave Chappelle's Block Party ;2005;Comedy|Documentary|Music;English;USA;R;100;1,85;3000000;11694528;Michel Gondry;Common;Dave Chappelle;Lauryn Hill;1000;989;744;220;2165;635;0;7721;72;114;7,2;
Derailed ;2005;Drama|Thriller;English;USA;R;112;2,35;22000000;36020063;Mikael Håfström;Denis O'Hare;RZA;Xzibit;101;896;561;218;2019;0;2;62584;375;116;6,6;
Deuce Bigalow: European Gigolo ;2005;Comedy;English;USA;R;83;1,85;22000000;22264487;Mike Bigelow;Carlos Ponce;Eddie Griffin;Charles Keating;2;591;489;137;1729;887;0;41239;166;98;4,6;
Diary of a Mad Black Woman ;2005;Comedy|Drama|Romance;English;USA;PG-13;116;1,85;5500000;50382128;Darren Grant;Cicely Tyson;Kimberly Elise;Tamara Taylor;0;907;637;476;2723;0;0;10472;202;62;5,6;
Dil Jo Bhi Kahey... ;2005;Romance;English;India;;;;70000000;129319;Romesh Sharma;Annabelle Wallis;Revathy;Bhoomika Chawla;0;421;96;45;622;9;4;257;4;4;5,1;
Domino ;2005;Action|Biography|Crime|Drama|Thriller;English;France;R;127;2,35;50000000;10137232;Tony Scott;Ian Ziering;Mo'Nique;Edgar Ramírez;12000;984;940;897;5702;0;0;58015;374;186;6;
Doom ;2005;Action|Adventure|Horror|Sci-Fi;English;UK;R;113;2,35;60000000;28031250;Andrzej Bartkowiak;Dwayne Johnson;Ben Daniels;Dexter Fletcher;43;12000;585;452;13517;0;0;88146;814;237;5,2;
